Specie,Transporter,TC number,Family,Target sugar,Description,Status,Source ID (NCBI)
Cylindrospermopsis raciborskii S10,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii S10],🟢 Confirmed,PNK07744.1
Cylindrospermopsis raciborskii S07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Cylindrospermopsis raciborskii S07],🟢 Confirmed,PNK07693.1
Cylindrospermopsis raciborskii S10,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Cylindrospermopsis raciborskii S10],🟢 Confirmed,PNK06910.1
Cylindrospermopsis raciborskii S14,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii S14],🟢 Confirmed,PNK04444.1
Cylindrospermopsis raciborskii S07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii S07],🟢 Confirmed,PNK04136.1
Cylindrospermopsis raciborskii S07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii S07],🟢 Confirmed,PNK04104.1
Cylindrospermopsis raciborskii S07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii S07],🟢 Confirmed,PNK03477.1
Cylindrospermopsis raciborskii C07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C07],🟢 Confirmed,PNK00614.1
Cylindrospermopsis raciborskii C07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Cylindrospermopsis raciborskii C07],🟢 Confirmed,PNK00550.1
Cylindrospermopsis raciborskii C07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C07],🟢 Confirmed,PNJ99818.1
Cylindrospermopsis raciborskii C07,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C07],🟢 Confirmed,PNJ99795.1
Cylindrospermopsis raciborskii C04,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Cylindrospermopsis raciborskii C04],🟢 Confirmed,PNJ99680.1
Cylindrospermopsis raciborskii C04,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C04],🟢 Confirmed,PNJ98988.1
Cylindrospermopsis raciborskii C04,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter ATP-binding protein [Cylindrospermopsis raciborskii C04],🟢 Confirmed,PNJ98105.1
Cylindrospermopsis raciborskii C04,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter permease [Cylindrospermopsis raciborskii C04],🟢 Confirmed,PNJ96419.1
Cylindrospermopsis raciborskii C03,sugar abc transporter,3.A.1.1,ABC,broad specificity,sugar ABC transporter substrate-binding protein [Cylindrospermopsis raciborskii C03],🟢 Confirmed,PNJ96201.1
