Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI),Origin
Richelia sinica FACHB-800,glucokinase,2.7.1.2,glucose,glucokinase [Richelia sinica FACHB-800],🟢 Confirmed,QXE25345.1,"Organism: Richelia sinica FACHB-800 | Strain: FACHB 800 | Isolation source: rice paddy field | Db xref: taxon:1357546 | Geo loc name: China: Wutian village, Huangmei county, Hubei province | Collection date: Jul-1985"
Synechococcus sp. CCY 0621,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. CCY 0621],🟢 Confirmed,WP_216908372.1,Organism: Synechococcus sp. CCY 0621 | Db xref: taxon:2815603
Leptothoe kymatousa,glucokinase,2.7.1.2,glucose,glucokinase [Leptothoe kymatousa],🟢 Confirmed,WP_215617571.1,Organism: Leptothoe kymatousa | Db xref: taxon:2651727
Calothrix sp. PCC 6303,glucokinase,2.7.1.2,glucose,glucokinase [Calothrix sp. PCC 6303],🟢 Confirmed,WP_015199694.1,Organism: Calothrix sp. PCC 6303 | Db xref: taxon:1170562
Pleurocapsa sp. PCC 7327,glucokinase,2.7.1.2,glucose,glucokinase [Pleurocapsa sp. PCC 7327],🟢 Confirmed,WP_015144050.1,Organism: Pleurocapsa sp. PCC 7327 | Db xref: taxon:118163
Synechocystis sp. PCC 6803,glucokinase,2.7.1.2,glucose,glucokinase [Synechocystis sp. PCC 6803],🟢 Confirmed,QWO80063.1,"Organism: Synechocystis sp. PCC 6803 | Strain: PCC 6803 | Db xref: taxon:1148 | Geo loc name: Germany: Planegg, Martinsried | Collection date: 2016 | Collected by: Marcel Dann and Moritz Thomas S29 (LMU) | Note: Synechocystis sp. PCC 6803 glucose-tolerant wild type (GT)"
Atlanticothrix silvestris,glucokinase,2.7.1.2,glucose,glucokinase [Atlanticothrix silvestris],🟢 Confirmed,WP_214441660.1,Organism: Atlanticothrix silvestris | Db xref: taxon:2840444
Dendronalium phyllosphericum,glucokinase,2.7.1.2,glucose,glucokinase [Dendronalium phyllosphericum],🟢 Confirmed,WP_214434482.1,Organism: Dendronalium phyllosphericum | Db xref: taxon:2840445
Synechococcus sp. LA31,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. LA31],🟢 Confirmed,WP_214341024.1,Organism: Synechococcus sp. LA31 | Db xref: taxon:2741953
Amazonocrinis nigriterrae,glucokinase,2.7.1.2,glucose,glucokinase [Amazonocrinis nigriterrae],🟢 Confirmed,WP_198124859.1,Organism: Amazonocrinis nigriterrae | Db xref: taxon:2840443
Synechococcus sp. LA31,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. LA31],🟢 Confirmed,QVV68207.1,"Organism: Synechococcus sp. LA31 | Strain: LA31 | Isolation source: Water collected as part of the Narragansett Bay Time Series | Db xref: taxon:2741953 | Geo loc name: USA: Narragansett Bay Time Series, Narragansett, Rhode Island | Lat lon: 41.47 N 71.40 W | Collection date: 2017-07-18"
Aphanizomenon flos-aquae KM1D3_PB,glucokinase,2.7.1.2,glucose,MAG: glucokinase [Aphanizomenon flos-aquae KM1D3_PB],🟢 Confirmed,QSV71098.1,"Organism: Aphanizomenon flos-aquae KM1D3_PB | Isolate: KM1D3_PB | Isolation source: unialgal non-axenic culture, originally established from brackish water collected from Curonian Lagoon Lithuania in 2012 | Db xref: taxon:2723857 | Environmental sample:  | Geo loc name: Lithuania: Curonian Lagoon | Lat lon: 55.32 N 21.08 E | Altitude: -6 m | Collection date: 2018-01 | Metagenome source: lagoon metagenome | Note: metagenomic"
Dolichospermum sp. DL01,glucokinase,2.7.1.2,glucose,MAG: glucokinase [Dolichospermum sp. DL01],🟢 Confirmed,QSV64173.1,"Organism: Dolichospermum sp. DL01 | Isolate: DL01 | Isolation source: freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter | Db xref: taxon:2717871 | Environmental sample:  | Geo loc name: USA: Diamond Lake, Oregon | Lat lon: 43.176067 N 122.138373 W | Altitude: 1583 m | Collection date: 2018-10-10 | Metagenome source: freshwater metagenome | Note: metagenomic"
Cyanobium sp. M30B3,glucokinase,2.7.1.2,glucose,MAG: glucokinase [Cyanobium sp. M30B3],🟢 Confirmed,QVL51717.1,"Organism: Cyanobium sp. M30B3 | Isolate: M30B3 | Isolation source: Lake Shunet | Db xref: taxon:2831057 | Environmental sample:  | Geo loc name: Russia: Republic of Khakassia, Shirinsky District | Lat lon: 54.25 N 90.13 E | Collection date: 2010-07-21 | Metagenome source: salt lake metagenome | Note: metagenomic"
Microcystis aeruginosa,glucokinase,2.7.1.2,glucose,glucokinase [Microcystis aeruginosa],🟢 Confirmed,BCU12006.1,Organism: Microcystis aeruginosa | Strain: NIES-88 | Culture collection: NIES:88 | Db xref: taxon:1126
Microcystis aeruginosa,glucokinase,2.7.1.2,glucose,glucokinase [Microcystis aeruginosa],🟢 Confirmed,BCU10239.1,Organism: Microcystis aeruginosa | Strain: NIES-88 | Culture collection: NIES:88 | Db xref: taxon:1126
Synechocystis sp. PCC 7338,glucokinase,2.7.1.2,glucose,glucokinase [Synechocystis sp. PCC 7338],🟢 Confirmed,WP_212718430.1,Organism: Synechocystis sp. PCC 7338 | Db xref: taxon:2732530
Planktothrix agardhii,glucokinase,2.7.1.2,glucose,Glucokinase [Planktothrix agardhii],🟢 Confirmed,CAD0228382.1,Organism: Planktothrix agardhii | Strain: PCC 10110 | Db xref: taxon:1160 | Note: contig: PL10110_Contig_39
Acaryochloris marina S15,glucokinase,2.7.1.2,glucose,glucokinase [Acaryochloris marina S15],🟢 Confirmed,QUY40519.1,"Organism: Acaryochloris marina S15 | Strain: S15 | Isolation source: surface of Pikea pinnata | Db xref: taxon:2762553 | Geo loc name: USA: Shelter Cove, CA | Collection date: 2016-07-20"
Synechocystis sp. PCC 7338,glucokinase,2.7.1.2,glucose,glucokinase [Synechocystis sp. PCC 7338],🟢 Confirmed,QUS59544.1,Organism: Synechocystis sp. PCC 7338 | Strain: PCC 7338 | Isolation source: Tidal pool | Db xref: taxon:2732530 | Geo loc name: USA
Nostoc commune,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc commune],🟢 Confirmed,WP_196527208.1,Organism: Nostoc commune | Db xref: taxon:1178
Synechococcus elongatus,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus elongatus],🟢 Confirmed,WP_208678423.1,Organism: Synechococcus elongatus | Db xref: taxon:32046
Synechococcus elongatus,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus elongatus],🟢 Confirmed,WP_208675206.1,Organism: Synechococcus elongatus | Db xref: taxon:32046
Aetokthonos hydrillicola,glucokinase,2.7.1.2,glucose,glucokinase [Aetokthonos hydrillicola],🟢 Confirmed,WP_208339204.1,Organism: Aetokthonos hydrillicola | Db xref: taxon:1550245
Fischerella thermalis JSC-11,glucokinase,2.7.1.2,glucose,"carbohydrate kinase, thermoresistant glucokinase family [Fischerella thermalis JSC-11]",🟢 Confirmed,EHC11093.1,Organism: Fischerella thermalis JSC-11 | Strain: JSC-11 | Db xref: taxon:741277
Fischerella thermalis JSC-11,glucokinase,2.7.1.2,glucose,Glucokinase [Fischerella thermalis JSC-11],🟢 Confirmed,EHC10510.1,Organism: Fischerella thermalis JSC-11 | Strain: JSC-11 | Db xref: taxon:741277
Fischerella thermalis JSC-11,glucokinase,2.7.1.2,glucose,polyphosphate glucokinase [Fischerella thermalis JSC-11],🟢 Confirmed,EHC09665.1,Organism: Fischerella thermalis JSC-11 | Strain: JSC-11 | Db xref: taxon:741277
Fischerella thermalis JSC-11,glucokinase,2.7.1.2,glucose,Glucokinase [Fischerella thermalis JSC-11],🟢 Confirmed,EHC09380.1,Organism: Fischerella thermalis JSC-11 | Strain: JSC-11 | Db xref: taxon:741277
Tribonema minus,glucokinase,2.7.1.2,glucose,glucokinase [Tribonema minus],🟢 Confirmed,KAG5176969.1,Organism: Tribonema minus | Isolate: UTEX B ZZ1240 | Isolation source: municipal reclaimed wastewater ponds | Db xref: taxon:303371 | Geo loc name: USA | Lat lon: 35.253760 N 120.671168 W | Collection date: Feb-2016
Dolichospermum sp. DET69,glucokinase,2.7.1.2,glucose,MAG: glucokinase [Dolichospermum sp. DET69],🟢 Confirmed,QSX66545.1,"Organism: Dolichospermum sp. DET69 | Isolate: DET69 | Isolation source: freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter | Db xref: taxon:2529119 | Environmental sample:  | Geo loc name: USA: Blowout Creek arm, Detroit Lake, Oregon | Lat lon: 44.690 N 122.203 W | Altitude: 470 m | Collection date: 08-May-2018 | Collected by: City of Salem | Identified by: Theo Dreher | Metagenome source: freshwater metagenome | Note: metagenomic"
Phormidium pseudopriestleyi,glucokinase,2.7.1.2,glucose,glucokinase [Phormidium pseudopriestleyi],🟢 Confirmed,WP_207090647.1,Organism: Phormidium pseudopriestleyi | Db xref: taxon:1759527
Chroococcus sp. FPU101,glucokinase,2.7.1.2,glucose,glucokinase [Chroococcus sp. FPU101],🟢 Confirmed,WP_206815853.1,Organism: Chroococcus sp. FPU101 | Db xref: taxon:1974212
Aphanizomenon flos-aquae DEX188,glucokinase,2.7.1.2,glucose,MAG: glucokinase [Aphanizomenon flos-aquae DEX188],🟢 Confirmed,QSV68292.1,"Organism: Aphanizomenon flos-aquae DEX188 | Isolate: DEX188 | Isolation source: freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter | Db xref: taxon:2717882 | Environmental sample:  | Geo loc name: USA: Dexter Reservoir, Oregon | Lat lon: 43.909999 N 122.779931 W | Altitude: 212 m | Collection date: 2018-09-17 | Metagenome source: freshwater metagenome | Note: metagenomic"
Dolichospermum sp. LBC05a,glucokinase,2.7.1.2,glucose,MAG: glucokinase [Dolichospermum sp. LBC05a],🟢 Confirmed,QSV57767.1,"Organism: Dolichospermum sp. LBC05a | Isolate: LBC05a | Isolation source: freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter | Db xref: taxon:2717873 | Environmental sample:  | Geo loc name: USA: Perry Sth, Lake Billy Chinook, Oregon | Lat lon: 44.585627 N 121.446389 W | Altitude: 774 m | Collection date: 2017-06-25 | Metagenome source: freshwater metagenome | Note: metagenomic"
Dolichospermum sp. UKL201,glucokinase,2.7.1.2,glucose,MAG: glucokinase [Dolichospermum sp. UKL201],🟢 Confirmed,QSV53730.1,"Organism: Dolichospermum sp. UKL201 | Isolate: UKL201 | Isolation source: freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter | Db xref: taxon:2717876 | Environmental sample:  | Geo loc name: USA: Agency Lake, Oregon | Lat lon: 42.559839 N 121.929579 W | Altitude: 1263 m | Collection date: 2019-06-02 | Metagenome source: freshwater metagenome | Note: metagenomic"
Nostoc sp. UHCC 0702,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc sp. UHCC 0702],🟢 Confirmed,QSJ16459.1,Organism: Nostoc sp. UHCC 0702 | Strain: UHCC 0702 | Isolation source: lake | Db xref: taxon:2814655 | Geo loc name: Finland: Villahteen Kukkanen | Collection date: 2013-08-19
Thermosynechococcus sp. TA-1,glucokinase,2.7.1.2,glucose,glucokinase [Thermosynechococcus sp. TA-1],🟢 Confirmed,QSF49024.1,"Organism: Thermosynechococcus sp. TA-1 | Strain: TA-1 | Isolation source: water | Db xref: taxon:2813673 | Geo loc name: Taiwan: Taian hot springs, Miaoli | Lat lon: 24.47206171 N 120.97690690 E | Collection date: 2004"
Leptolyngbya sp. Cla-17,glucokinase,2.7.1.2,glucose,glucokinase [Leptolyngbya sp. Cla-17],🟢 Confirmed,WP_171574365.1,Organism: Leptolyngbya sp. Cla-17 | Db xref: taxon:2803751
Microcoleus asticus,glucokinase,2.7.1.2,glucose,glucokinase [Microcoleus asticus],🟢 Confirmed,WP_172190140.1,Organism: Microcoleus asticus | Db xref: taxon:2815231
Leptolyngbya sp. CCY15150,glucokinase,2.7.1.2,glucose,glucokinase [Leptolyngbya sp. CCY15150],🟢 Confirmed,WP_204151324.1,Organism: Leptolyngbya sp. CCY15150 | Db xref: taxon:2767772
Halomicronema sp. CCY15110,glucokinase,2.7.1.2,glucose,glucokinase [Halomicronema sp. CCY15110],🟢 Confirmed,WP_204139143.1,Organism: Halomicronema sp. CCY15110 | Db xref: taxon:2767773
Leptolyngbyaceae cyanobacterium JSC-12,glucokinase,2.7.1.2,glucose,glucokinase [Leptolyngbyaceae cyanobacterium JSC-12],🟢 Confirmed,EKQ70074.1,Organism: Leptolyngbyaceae cyanobacterium JSC-12 | Strain: JSC-12 | Db xref: taxon:864702
Iningainema tapete,glucokinase,2.7.1.2,glucose,glucokinase [Iningainema tapete],🟢 Confirmed,WP_190831948.1,Organism: Iningainema tapete | Db xref: taxon:2806730
Okeania sp. KiyG1,glucokinase,2.7.1.2,glucose,glucokinase [Okeania sp. KiyG1],🟢 Confirmed,WP_202218533.1,Organism: Okeania sp. KiyG1 | Db xref: taxon:2720165
Pseudanabaena sp. lw0831,glucokinase,2.7.1.2,glucose,glucokinase [Pseudanabaena sp. lw0831],🟢 Confirmed,WP_201321753.1,Organism: Pseudanabaena sp. lw0831 | Db xref: taxon:1357935
Anabaenopsis elenkinii,glucokinase,2.7.1.2,glucose,glucokinase [Anabaenopsis elenkinii],🟢 Confirmed,WP_200988803.1,Organism: Anabaenopsis elenkinii | Db xref: taxon:156213
Sphaerospermopsis aphanizomenoides,glucokinase,2.7.1.2,glucose,glucokinase [Sphaerospermopsis aphanizomenoides],🟢 Confirmed,WP_200324914.1,Organism: Sphaerospermopsis aphanizomenoides | Db xref: taxon:459663
Leptolyngbya sp. BL0902,glucokinase,2.7.1.2,glucose,glucokinase [Leptolyngbya sp. BL0902],🟢 Confirmed,WP_198806809.1,Organism: Leptolyngbya sp. BL0902 | Db xref: taxon:1115757
[Phormidium] sp. ETS-05,glucokinase,2.7.1.2,glucose,glucokinase [[Phormidium] sp. ETS-05],🟢 Confirmed,WP_199248371.1,Organism: [Phormidium] sp. ETS-05 | Db xref: taxon:222819
Pleurocapsa sp. CCALA 161,glucokinase,2.7.1.2,glucose,glucokinase [Pleurocapsa sp. CCALA 161],🟢 Confirmed,WP_199194173.1,Organism: Pleurocapsa sp. CCALA 161 | Db xref: taxon:2107688
Leptolyngbya sp. BL0902,glucokinase,2.7.1.2,glucose,glucokinase [Leptolyngbya sp. BL0902],🟢 Confirmed,QQE66607.1,"Organism: Leptolyngbya sp. BL0902 | Strain: BL0902 | Isolation source: open pond on an algae farm | Db xref: taxon:1115757 | Geo loc name: USA: California, Imperial Valley"
Leptolyngbya sp. BL0902,glucokinase,2.7.1.2,glucose,glucokinase [Leptolyngbya sp. BL0902],🟢 Confirmed,QQE63977.1,"Organism: Leptolyngbya sp. BL0902 | Strain: BL0902 | Isolation source: open pond on an algae farm | Db xref: taxon:1115757 | Geo loc name: USA: California, Imperial Valley"
Synechococcus sp. CBW1004,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. CBW1004],🟢 Confirmed,WP_197211447.1,Organism: Synechococcus sp. CBW1004 | Db xref: taxon:1353136
Synechococcus sp. CBW1006,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. CBW1006],🟢 Confirmed,WP_197155188.1,Organism: Synechococcus sp. CBW1006 | Db xref: taxon:1353138
Synechococcus sp. CBW1108,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. CBW1108],🟢 Confirmed,QPN70379.1,"Organism: Synechococcus sp. CBW1108 | Strain: CBW1108 | Isolation source: Chesapeake Bay | Db xref: taxon:1353147 | Geo loc name: USA: Chesapeake Bay in Baltimore, Maryland | Collection date: 01-Feb-2011 | Collected by: Institute of Marine and Environmental Technology"
Synechococcus sp. CBW1006,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. CBW1006],🟢 Confirmed,QPN66094.1,"Organism: Synechococcus sp. CBW1006 | Strain: CBW1006 | Isolation source: Chesapeake Bay | Db xref: taxon:1353138 | Geo loc name: USA: Chesapeake Bay in Baltimore, Maryland | Collection date: 28-Dec-2010 | Collected by: Institute of Marine and Environmental Technology"
Synechococcus sp. CBW1004,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. CBW1004],🟢 Confirmed,QPN63283.1,"Organism: Synechococcus sp. CBW1004 | Strain: CBW1004 | Isolation source: Chesapeake Bay | Db xref: taxon:1353136 | Geo loc name: USA: Chesapeake Bay in Baltimore, Maryland | Collection date: 28-Dec-2010 | Collected by: Institute of Marine and Environmental Technology"
Synechococcus sp. CBW1002,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. CBW1002],🟢 Confirmed,QPN59362.1,"Organism: Synechococcus sp. CBW1002 | Strain: CBW1002 | Isolation source: Chesapeake Bay | Db xref: taxon:1353134 | Geo loc name: USA: Chesapeake Bay in Baltimore, Maryland | Collection date: 21-Dec-2010 | Collected by: Institute of Marine and Environmental Technology"
Synechococcus sp. CBW1107,glucokinase,2.7.1.2,glucose,glucokinase [Synechococcus sp. CBW1107],🟢 Confirmed,QPN56272.1,Organism: Synechococcus sp. CBW1107 | Strain: CBW1107 | Isolation source: Chesapeake Bay estuary | Db xref: taxon:2789857 | Geo loc name: USA: Chesapeake Bay estuary | Collection date: 2011-01
Nostoc sp. WHI,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc sp. WHI],🟢 Confirmed,WP_196521454.1,Organism: Nostoc sp. WHI | Db xref: taxon:2650611
Nostoc sp. NZL,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc sp. NZL],🟢 Confirmed,WP_196513825.1,Organism: Nostoc sp. NZL | Db xref: taxon:2650612
Tychonema sp. LEGE 07203,glucokinase,2.7.1.2,glucose,glucokinase [Tychonema sp. LEGE 07203],🟢 Confirmed,WP_194060948.1,Organism: Tychonema sp. LEGE 07203 | Db xref: taxon:1828671
Sphaerospermopsis sp. LEGE 08334,glucokinase,2.7.1.2,glucose,glucokinase [Sphaerospermopsis sp. LEGE 08334],🟢 Confirmed,WP_194057931.1,Organism: Sphaerospermopsis sp. LEGE 08334 | Db xref: taxon:1828651
Nodosilinea sp. LEGE 06152,glucokinase,2.7.1.2,glucose,glucokinase [Nodosilinea sp. LEGE 06152],🟢 Confirmed,WP_194051747.1,Organism: Nodosilinea sp. LEGE 06152 | Db xref: taxon:2777966
Nostoc edaphicum,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc edaphicum],🟢 Confirmed,WP_194043815.1,Organism: Nostoc edaphicum | Db xref: taxon:264686
Lusitaniella coriacea,glucokinase,2.7.1.2,glucose,glucokinase [Lusitaniella coriacea],🟢 Confirmed,WP_194031067.1,Organism: Lusitaniella coriacea | Db xref: taxon:1983105
Nodosilinea sp. LEGE 07298,glucokinase,2.7.1.2,glucose,glucokinase [Nodosilinea sp. LEGE 07298],🟢 Confirmed,WP_194024230.1,Organism: Nodosilinea sp. LEGE 07298 | Db xref: taxon:2777970
Synechocystis salina,glucokinase,2.7.1.2,glucose,glucokinase [Synechocystis salina],🟢 Confirmed,WP_194018909.1,Organism: Synechocystis salina | Db xref: taxon:945780
Synechocystis salina,glucokinase,2.7.1.2,glucose,glucokinase [Synechocystis salina],🟢 Confirmed,WP_194014887.1,Organism: Synechocystis salina | Db xref: taxon:945780
aff. Roholtiella sp. LEGE 12411,glucokinase,2.7.1.2,glucose,glucokinase [aff. Roholtiella sp. LEGE 12411],🟢 Confirmed,WP_194004745.1,Organism: aff. Roholtiella sp. LEGE 12411 | Db xref: taxon:1828822
Leptolyngbya ectocarpi,glucokinase,2.7.1.2,glucose,glucokinase [Leptolyngbya ectocarpi],🟢 Confirmed,WP_193993176.1,Organism: Leptolyngbya ectocarpi | Db xref: taxon:1202
Microcystis aeruginosa,glucokinase,2.7.1.2,glucose,glucokinase [Microcystis aeruginosa],🟢 Confirmed,WP_193979057.1,Organism: Microcystis aeruginosa | Db xref: taxon:1126
Microcoleus sp. LEGE 07076,glucokinase,2.7.1.2,glucose,glucokinase [Microcoleus sp. LEGE 07076],🟢 Confirmed,WP_193974157.1,Organism: Microcoleus sp. LEGE 07076 | Db xref: taxon:915322
Nodosilinea sp. LEGE 07088,glucokinase,2.7.1.2,glucose,glucokinase [Nodosilinea sp. LEGE 07088],🟢 Confirmed,WP_193969197.1,Organism: Nodosilinea sp. LEGE 07088 | Db xref: taxon:2777968
Microcystis sp. LEGE 08355,glucokinase,2.7.1.2,glucose,glucokinase [Microcystis sp. LEGE 08355],🟢 Confirmed,WP_193960592.1,Organism: Microcystis sp. LEGE 08355 | Db xref: taxon:1828687
Microcystis aeruginosa,glucokinase,2.7.1.2,glucose,glucokinase [Microcystis aeruginosa],🟢 Confirmed,WP_193957865.1,Organism: Microcystis aeruginosa | Db xref: taxon:1126
Nostoc sp. LEGE 12450,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc sp. LEGE 12450],🟢 Confirmed,WP_193949288.1,Organism: Nostoc sp. LEGE 12450 | Db xref: taxon:1828643
Sphaerospermopsis aphanizomenoides,glucokinase,2.7.1.2,glucose,glucokinase [Sphaerospermopsis aphanizomenoides],🟢 Confirmed,WP_193941808.1,Organism: Sphaerospermopsis aphanizomenoides | Db xref: taxon:459663
Cuspidothrix issatschenkoi,glucokinase,2.7.1.2,glucose,glucokinase [Cuspidothrix issatschenkoi],🟢 Confirmed,WP_193936040.1,Organism: Cuspidothrix issatschenkoi | Db xref: taxon:230752
Gloeocapsopsis crepidinum,glucokinase,2.7.1.2,glucose,glucokinase [Gloeocapsopsis crepidinum],🟢 Confirmed,WP_193934027.1,Organism: Gloeocapsopsis crepidinum | Db xref: taxon:693223
Plectonema radiosum,glucokinase,2.7.1.2,glucose,glucokinase [Plectonema radiosum],🟢 Confirmed,WP_193921760.1,Organism: Plectonema radiosum | Db xref: taxon:945768
Desmonostoc muscorum,glucokinase,2.7.1.2,glucose,glucokinase [Desmonostoc muscorum],🟢 Confirmed,WP_193917646.1,Organism: Desmonostoc muscorum | Db xref: taxon:1179
Dolichospermum sp. LEGE 00240,glucokinase,2.7.1.2,glucose,glucokinase [Dolichospermum sp. LEGE 00240],🟢 Confirmed,WP_193895317.1,Organism: Dolichospermum sp. LEGE 00240 | Db xref: taxon:1828603
Nostoc sp. LEGE 06077,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc sp. LEGE 06077],🟢 Confirmed,WP_193894517.1,Organism: Nostoc sp. LEGE 06077 | Db xref: taxon:915325
Fortiea sp. LEGE XX443,glucokinase,2.7.1.2,glucose,glucokinase [Fortiea sp. LEGE XX443],🟢 Confirmed,WP_193884360.1,Organism: Fortiea sp. LEGE XX443 | Db xref: taxon:1828611
unclassified Coleofasciculus,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [unclassified Coleofasciculus],🟢 Confirmed,WP_193880816.1,Organism: unclassified Coleofasciculus | Db xref: taxon:2692782
Oculatella sp. LEGE 06141,glucokinase,2.7.1.2,glucose,glucokinase [Oculatella sp. LEGE 06141],🟢 Confirmed,WP_193878564.1,Organism: Oculatella sp. LEGE 06141 | Db xref: taxon:1828648
Planktothrix mougeotii,glucokinase,2.7.1.2,glucose,glucokinase [Planktothrix mougeotii],🟢 Confirmed,WP_193870952.1,Organism: Planktothrix mougeotii | Db xref: taxon:54306
cf. Phormidesmis sp. LEGE 11477,glucokinase,2.7.1.2,glucose,glucokinase [cf. Phormidesmis sp. LEGE 11477],🟢 Confirmed,WP_193856892.1,Organism: cf. Phormidesmis sp. LEGE 11477 | Db xref: taxon:1828680
Dolichospermum flos-aquae,glucokinase,2.7.1.2,glucose,glucokinase [Dolichospermum flos-aquae],🟢 Confirmed,WP_193848449.1,Organism: Dolichospermum flos-aquae | Db xref: taxon:1166
Microcystis,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Microcystis],🟢 Confirmed,WP_190537687.1,Organism: Microcystis | Db xref: taxon:1125
Nostoc sp. LEGE 12447,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc sp. LEGE 12447],🟢 Confirmed,WP_194143422.1,Organism: Nostoc sp. LEGE 12447 | Db xref: taxon:1828640
Aphanizomenonaceae,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Aphanizomenonaceae],🟢 Confirmed,WP_027401099.1,Organism: Aphanizomenonaceae | Db xref: taxon:1892259
Microcystis,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Microcystis],🟢 Confirmed,WP_002741129.1,Organism: Microcystis | Db xref: taxon:1125
Nostoc sp. MG11,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc sp. MG11],🟢 Confirmed,WP_193198863.1,Organism: Nostoc sp. MG11 | Db xref: taxon:2721166
Microcoleus sp. FACHB-SPT15,glucokinase,2.7.1.2,glucose,glucokinase [Microcoleus sp. FACHB-SPT15],🟢 Confirmed,WP_192220394.1,Organism: Microcoleus sp. FACHB-SPT15 | Db xref: taxon:2692830
Chroococcidiopsis sp. [FACHB-1243],glucokinase,2.7.1.2,glucose,glucokinase [Chroococcidiopsis sp [FACHB-1243]],🟢 Confirmed,WP_192153661.1,Organism: Chroococcidiopsis sp. [FACHB-1243] | Db xref: taxon:2692781
Nostoc spongiaeforme,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc spongiaeforme],🟢 Confirmed,WP_190967268.1,Organism: Nostoc spongiaeforme | Db xref: taxon:502487
Nostoc flagelliforme,glucokinase,2.7.1.2,glucose,glucokinase [Nostoc flagelliforme],🟢 Confirmed,WP_190939184.1,Organism: Nostoc flagelliforme | Db xref: taxon:1306274
Microcystis,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Microcystis],🟢 Confirmed,WP_069474075.1,Organism: Microcystis | Db xref: taxon:1125
Microcystis,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Microcystis],🟢 Confirmed,WP_045359223.1,Organism: Microcystis | Db xref: taxon:1125
Nostocales,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Nostocales],🟢 Confirmed,WP_029635214.1,Organism: Nostocales | Db xref: taxon:1161
Leptolyngbya,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Leptolyngbya],🟢 Confirmed,WP_017289239.1,Organism: Leptolyngbya | Db xref: taxon:47251
Fischerella,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Fischerella],🟢 Confirmed,WP_016867037.1,Organism: Fischerella | Db xref: taxon:1190
Nostoc,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Nostoc],🟢 Confirmed,WP_190953291.1,Organism: Nostoc | Db xref: taxon:1177
Nostoc,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Nostoc],🟢 Confirmed,WP_190895901.1,Organism: Nostoc | Db xref: taxon:1177
unclassified Leptolyngbya,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [unclassified Leptolyngbya],🟢 Confirmed,WP_190773327.1,Organism: unclassified Leptolyngbya | Db xref: taxon:2650499
unclassified Nostoc,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [unclassified Nostoc],🟢 Confirmed,WP_190694519.1,Organism: unclassified Nostoc | Db xref: taxon:2593658
unclassified Calothrix,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [unclassified Calothrix],🟢 Confirmed,WP_190630160.1,Organism: unclassified Calothrix | Db xref: taxon:2619626
Nostocaceae,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Nostocaceae],🟢 Confirmed,WP_190591760.1,Organism: Nostocaceae | Db xref: taxon:1162
Calothrix,glucokinase,2.7.1.2,glucose,MULTISPECIES: glucokinase [Calothrix],🟢 Confirmed,WP_190541029.1,Organism: Calothrix | Db xref: taxon:1186
